943, tống táng, tột vời
944, tơ, tới hạn
945, tới lui, trả giá
946, trả góp, trai trẻ
947, trái, trại lính
948, trại mồ côi, trang trải
949, trang trại, tranh cuộn
950, tranh cử, trào
951, trào dâng, trăm nghìn
952, trăm nhà đua tiếng, trắng phau
953, trắng phau, trân châu
954, trân châu lùn, trận pháp
955, trận pháp, trầy xước
956, trẩy, treo trễ
957, trèo, trên kính dưới nhường
958, trên kính đưới nhường, trị 
959, trị, triệt
960, triệt để, trình bày
961, trình bày, trỏ tay năm ngón
962, trọ, tròn vo
963, tròn xoay, trọng lực
964, trọng lượng, trôi
965, trôi, trốn
966, trốn, trống chiêng
967, trống con, trơ mắt
968, trơ mắt ếch, trở xuống
969, trở xuống, trơn
970, trơn, trú ẩn
971, trú ẩn, trụi thui lủi
972, trụi thùi lụi, trung lộ
973, trung lưu, trùng điệp 
974, trùng hôn, trụt
975, trụt, truyền giống
976, truyền hình, trứ danh
977, trứ tác, trừng phạt
978, trừng trị, trường cao đẳng
